Title,Publisher,Link,DiscountPCT,OriginalPrice,DiscountPrice,Discount_Endtime,Rating,Rating_count,Genre,ReleaseDate
DRAGON BALL XENOVERSE 2 - Legendary Pack Set (Chinese/Korean Ver.),Bandai Namco Entertainment Inc.,https://store.playstation.com/en-hk/product/HP0700-CUSA05085_00-SPASS50000000000,50%,HK$129.00,HK$64.50,20/3/2024 03:59 PM UTC,4.56,27,"Action, Casual, Fighting",18/3/2021
DRAGON BALL XENOVERSE 2 - Extra Pass (Chinese/Korean Ver.),Bandai Namco Entertainment Inc.,https://store.playstation.com/en-hk/product/HP0700-CUSA05085_00-0000000000000004,50%,HK$199.00,HK$99.50,20/3/2024 03:59 PM UTC,4.42,109,Action,19/12/2018
DRAGON BALL XENOVERSE 2 - Super Pass (Chinese/Korean Ver.),Bandai Namco Entertainment Inc.,https://store.playstation.com/en-hk/product/HP0700-CUSA05085_00-0000000000000000,50%,HK$210.00,HK$105.00,20/3/2024 03:59 PM UTC,4.25,278,Action,1/12/2016
DRAGON BALL XENOVERSE 2 - Legend Patrol Pack (Chinese/Korean Ver.),Bandai Namco Entertainment Inc.,https://store.playstation.com/en-hk/product/HP0700-CUSA05085_00-DBXV2KEY59DLCXV1,50%,HK$79.00,HK$39.50,20/3/2024 03:59 PM UTC,4.4,10,"Action, Casual, Fighting",7/7/2022
DRAGON BALL XENOVERSE 2 - Ultra Pack Set (Chinese/Korean Ver.),Bandai Namco Entertainment Inc.,https://store.playstation.com/en-hk/product/HP0700-CUSA05085_00-0000000000000006,50%,HK$119.00,HK$59.50,20/3/2024 03:59 PM UTC,4.41,68,"Action, Casual, Fighting",10/7/2019
DRAGON BALL XENOVERSE 2 - Legendary Pack 2 (Chinese/Korean Ver.),Bandai Namco Entertainment Inc.,https://store.playstation.com/en-hk/product/HP0700-CUSA05085_00-DBXV2KEYA3DLCA13,50%,HK$80.00,HK$40.00,20/3/2024 03:59 PM UTC,4.52,25,"Action, Casual, Fighting",5/11/2021
DRAGON BALL XENOVERSE 2 - Extra DLC Pack 2 (Chinese/Korean Ver.),Bandai Namco Entertainment Inc.,https://store.playstation.com/en-hk/product/HP0700-CUSA05085_00-DBXV2KEY67DLC600,50%,HK$79.00,HK$39.50,20/3/2024 03:59 PM UTC,4.55,272,"Action, Casual, Fighting",7/3/2018
DRAGON BALL XENOVERSE 2 - Extra DLC Pack 3 (Chinese/Korean Ver.),Bandai Namco Entertainment Inc.,https://store.playstation.com/en-hk/product/HP0700-CUSA05085_00-DBXV2KEY82DLC700,50%,HK$64.00,HK$32.00,20/3/2024 03:59 PM UTC,4.39,70,"Action, Casual, Fighting",28/8/2018
DRAGON BALL XENOVERSE 2 - Extra DLC Pack 1 (Chinese/Korean Ver.),Bandai Namco Entertainment Inc.,https://store.playstation.com/en-hk/product/HP0700-CUSA05085_00-0000000000000002,50%,HK$79.00,HK$39.50,20/3/2024 03:59 PM UTC,4.33,82,Action,28/11/2017
"VALKYRIE ELYSIUM - Digital Deluxe Edition PS4 & PS5 (En/Jp Ver.) (English, Japanese)",SQUARE ENIX CO. LTD.,https://store.playstation.com/en-hk/product/UP0082-PPSA07274_00-VEPS5DDXUP000001,60%,HK$599.00,HK$239.60,20/3/2024 03:59 PM UTC,4.02,1.3k,"Action, Role Playing Games",25/9/2022
"VALKYRIE ELYSIUM - Digital Deluxe Edition PS4 & PS5 (zh/Ko Ver.) (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","SQUARE ENIX CO., LTD.",https://store.playstation.com/en-hk/product/HP0082-PPSA07276_00-VEPS5DDXASIA0001,60%,HK$599.00,HK$239.60,20/3/2024 03:59 PM UTC,4.02,1.3k,"Action, Role Playing Games",25/9/2022
"Dying Light: The Following - Enhanced Edition (Simplified Chinese, English, Traditional Chinese)",TECHLAND,https://store.playstation.com/en-hk/product/EP1018-CUSA03991_00-ASIA000000000000,70%,HK$238.00,HK$71.40,20/3/2024 03:59 PM UTC,4.63,84k,Action,9/2/2016
Crash™ Team Racing Nitro-Fueled - Nitros Oxide Edition (English Ver.),Activision,https://store.playstation.com/en-hk/product/UP0002-CUSA13795_00-ASIACTRDELUXE001,65%,HK$428.00,HK$149.80,20/3/2024 03:59 PM UTC,4.37,25k,Driving/Racing,20/6/2019
Marvel's Spider-Man: The City That Never Sleeps (English/Chinese/Korean Ver.),Sony Interactive Entertainment,https://store.playstation.com/en-hk/product/HP9000-CUSA09893_00-CTNSBUNDLE000000,50%,HK$198.00,HK$99.00,20/3/2024 03:59 PM UTC,4.38,8.8k,Action,6/9/2018
